CustomerID,first_purchase,last_purchase,lifetime_days,churned,segment,recency,frequency,monetary,rfm_score
12431,2010-01-15 09:04:00,2010-03-04 09:51:00,49,0,Loyal,25,3,1514.8600000000001,13
12435,2009-12-02 13:58:00,2010-03-12 14:50:00,101,0,Loyal,17,2,1736.88,12
12437,2009-12-02 16:24:00,2010-03-24 15:24:00,112,0,Champions,4,6,3799.32,15
12439,2009-12-14 08:40:00,2010-01-26 12:11:00,44,0,Loyal,62,2,1142.88,10
12440,2009-12-22 12:03:00,2009-12-22 12:03:00,1,1,Lost,97,1,568.51,5
12443,2009-12-07 15:42:00,2009-12-07 15:42:00,1,1,Lost,111,1,485.31,5
12455,2009-12-18 12:33:00,2010-03-23 10:30:00,95,0,Loyal,6,2,2414.34,13
12466,2010-01-26 16:26:00,2010-01-26 16:26:00,1,0,Loyal,61,1,56.73,4
12468,2010-01-26 10:09:00,2010-01-26 10:09:00,1,0,Loyal,62,1,441.23,6
12470,2010-01-19 11:01:00,2010-01-19 11:01:00,1,0,Lost,69,1,211.95,5
12471,2009-12-07 10:41:00,2010-03-26 09:41:00,109,0,Champions,3,19,6496.56,15
12472,2009-12-14 10:49:00,2010-03-22 13:44:00,99,0,Champions,7,5,3029.43,15
12474,2010-02-11 09:41:00,2010-02-11 09:41:00,1,0,Loyal,46,1,158.7,4
12477,2010-03-26 14:01:00,2010-03-26 14:01:00,1,0,Loyal,3,1,2021.23,11
12482,2010-02-24 10:24:00,2010-02-24 11:16:00,1,0,Champions,33,5,6437.76,13
12483,2010-01-31 13:28:00,2010-03-16 11:29:00,44,0,Loyal,13,4,842.5,13
12484,2010-01-27 16:41:00,2010-02-28 11:55:00,32,0,Loyal,29,3,705.15,11
12487,2009-12-09 11:36:00,2009-12-09 11:36:00,1,1,Lost,110,1,285.29999999999995,4
12490,2009-12-01 12:52:00,2010-03-09 09:46:00,98,0,Champions,20,6,2112.0099999999998,14
12495,2010-03-09 10:53:00,2010-03-09 10:53:00,1,0,Loyal,20,1,357.4,8
12497,2010-03-05 09:39:00,2010-03-05 09:39:00,1,0,Loyal,24,1,1211.76,10
12500,2010-02-04 15:05:00,2010-03-16 15:19:00,41,0,Champions,12,5,869.49,13
12510,2009-12-04 13:47:00,2010-03-25 16:19:00,112,0,Champions,3,6,3414.23,15
12514,2010-03-08 12:18:00,2010-03-08 12:18:00,1,0,Loyal,21,1,580.08,9
12523,2009-12-07 13:46:00,2010-03-12 09:57:00,95,0,Loyal,17,4,847.04,13
12524,2010-02-08 14:41:00,2010-03-24 11:49:00,44,0,Champions,5,3,2282.58,14
12525,2010-03-02 14:01:00,2010-03-02 14:01:00,1,0,Loyal,27,1,566.4300000000001,7
12530,2010-03-07 14:37:00,2010-03-07 14:37:00,1,0,Loyal,22,1,357.0,8
12531,2010-01-22 14:17:00,2010-01-22 14:17:00,1,0,Loyal,66,1,1807.98,8
12533,2009-12-01 11:50:00,2010-03-22 10:56:00,111,0,Loyal,7,2,1367.89,13
12539,2009-12-23 13:00:00,2009-12-23 13:41:00,1,1,Loyal,96,2,5149.06,9
12540,2009-12-07 16:56:00,2010-03-25 09:44:00,108,0,Champions,4,6,2496.62,15
12542,2010-03-09 16:26:00,2010-03-09 16:26:00,1,0,Loyal,19,1,364.79,8
12549,2010-01-11 12:29:00,2010-01-27 10:35:00,16,0,Loyal,61,4,1159.3700000000001,12
12555,2010-01-26 16:26:00,2010-01-26 16:26:00,1,0,Loyal,61,1,129.23,4
12557,2009-12-17 10:39:00,2009-12-17 10:39:00,1,1,Lost,102,1,1952.64,7
12567,2010-02-11 10:30:00,2010-02-11 10:30:00,1,0,Loyal,46,1,522.28,6
12568,2010-03-05 09:15:00,2010-03-05 09:15:00,1,0,Loyal,24,1,70.0,6
12570,2010-01-26 17:28:00,2010-01-26 17:28:00,1,0,Loyal,61,1,77.52,4
12577,2009-12-03 19:31:00,2009-12-03 19:31:00,1,1,Lost,115,1,210.55,4
12583,2009-12-06 11:57:00,2010-02-25 11:45:00,81,0,Loyal,32,2,1409.49,11
12586,2009-12-16 13:15:00,2009-12-16 13:15:00,1,1,Lost,103,1,422.35,5
12589,2010-01-19 12:26:00,2010-01-19 12:26:00,1,0,Lost,69,1,715.5,7
12594,2010-03-03 13:51:00,2010-03-03 13:51:00,1,0,Loyal,26,1,154.14,5
12598,2010-03-01 09:58:00,2010-03-03 16:03:00,3,0,Loyal,25,2,649.71,11
12600,2009-12-07 13:37:00,2010-02-18 11:19:00,73,0,Champions,39,5,1133.07,13
12606,2010-01-26 16:23:00,2010-01-26 16:23:00,1,0,Loyal,61,1,21.0,4
12609,2009-12-20 13:30:00,2009-12-20 13:30:00,1,1,Lost,99,1,330.6,4
12613,2009-12-14 13:10:00,2009-12-14 13:10:00,1,1,Lost,105,1,1333.1100000000001,7
12615,2010-03-18 14:09:00,2010-03-18 14:09:00,1,0,Loyal,11,1,1155.48,11
12621,2010-02-09 12:01:00,2010-03-18 12:08:00,38,0,Loyal,11,2,1322.52,13
12623,2010-01-12 11:45:00,2010-03-02 09:25:00,49,0,Loyal,27,2,1923.82,11
12631,2010-01-15 14:50:00,2010-01-15 14:50:00,1,0,Lost,73,1,738.1800000000001,7
12636,2009-12-01 09:55:00,2009-12-01 09:55:00,1,1,Lost,118,1,141.0,3
12638,2010-03-10 10:30:00,2010-03-10 10:30:00,1,0,Loyal,19,1,249.8,7
12639,2010-03-22 09:05:00,2010-03-22 09:05:00,1,0,Loyal,7,1,253.57999999999998,8
12644,2010-01-14 13:02:00,2010-02-07 14:27:00,25,0,Loyal,50,2,868.13,9
12645,2010-02-09 10:49:00,2010-03-03 10:19:00,22,0,Loyal,26,2,846.74,10
12647,2010-01-13 15:06:00,2010-03-18 16:16:00,65,0,Champions,10,8,3841.46,15
12648,2010-01-07 18:38:00,2010-03-09 09:55:00,61,0,Loyal,20,2,311.8,9
12649,2010-01-12 17:24:00,2010-01-15 13:14:00,3,0,Lost,73,2,385.5,8
12663,2010-02-09 14:28:00,2010-03-25 09:40:00,44,0,Loyal,4,2,239.4,10
12664,2009-12-13 10:28:00,2009-12-13 10:28:00,1,1,Lost,106,1,549.08,5
12665,2010-02-08 15:11:00,2010-02-08 15:11:00,1,0,Loyal,49,1,168.8,4
12668,2010-01-31 15:45:00,2010-03-09 11:10:00,37,0,Champions,20,3,3867.58,13
12670,2010-02-11 10:13:00,2010-02-11 10:13:00,1,0,Loyal,46,1,225.60000000000002,5
12677,2010-02-11 13:55:00,2010-02-11 13:55:00,1,0,Loyal,46,1,190.7,4
12678,2010-01-07 16:46:00,2010-01-08 11:25:00,1,0,Loyal,80,2,2310.3,9
12681,2009-12-13 13:31:00,2010-03-24 08:31:00,101,0,Champions,5,7,4231.35,15
12682,2009-12-01 09:28:00,2010-03-09 11:10:00,99,0,Champions,20,8,4294.37,14
12683,2009-12-13 15:01:00,2010-02-09 11:11:00,58,0,Loyal,48,3,1557.66,11
12692,2010-03-12 14:02:00,2010-03-12 14:02:00,1,0,Loyal,17,1,110.95,6
12695,2010-02-12 13:22:00,2010-02-12 13:22:00,1,0,Loyal,45,1,493.66,7
12701,2010-03-16 13:23:00,2010-03-16 13:23:00,1,0,Loyal,13,1,547.3199999999999,8
12703,2010-01-24 12:05:00,2010-03-16 13:22:00,52,0,Loyal,13,3,722.98,12
12708,2009-12-18 10:25:00,2010-02-28 10:31:00,73,0,Loyal,29,3,808.32,11
12709,2009-12-09 13:49:00,2010-03-17 14:59:00,99,0,Champions,12,6,6269.5599999999995,14
12711,2010-02-01 11:30:00,2010-02-01 11:30:00,1,0,Loyal,56,1,549.3,6
12712,2009-12-09 10:46:00,2010-02-05 09:14:00,58,0,Loyal,52,2,562.38,8
12714,2009-12-04 10:00:00,2010-03-15 14:19:00,102,0,Champions,14,3,3835.19,13
12726,2010-03-25 16:25:00,2010-03-25 16:25:00,1,0,Loyal,3,1,381.36,9
12727,2010-02-23 09:54:00,2010-02-23 09:54:00,1,0,Loyal,34,1,759.32,8
12731,2010-03-02 09:23:00,2010-03-02 09:23:00,1,0,Loyal,27,1,1626.4,9
12733,2010-01-19 13:23:00,2010-01-19 13:23:00,1,0,Loyal,69,1,1130.22,8
12742,2010-03-24 12:43:00,2010-03-24 12:43:00,1,0,Loyal,5,1,1201.52,11
12745,2010-01-26 16:22:00,2010-01-26 16:22:00,1,0,Loyal,61,1,201.56,5
12747,2009-12-07 13:23:00,2010-03-09 15:16:00,93,0,Champions,19,6,1502.89,14
12748,2009-12-04 17:31:00,2010-03-24 15:00:00,110,0,Champions,5,30,5170.43,15
12755,2010-01-15 11:57:00,2010-03-15 10:47:00,59,0,Loyal,14,3,147.41,9
12758,2009-12-01 14:40:00,2010-03-24 10:28:00,113,0,Loyal,5,2,4340.05,13
12759,2009-12-04 10:47:00,2009-12-04 10:47:00,1,1,Lost,115,1,508.26,5
12765,2010-03-08 09:43:00,2010-03-08 09:43:00,1,0,Loyal,21,1,147.0,6
12776,2010-02-10 12:11:00,2010-02-10 12:11:00,1,0,Loyal,47,1,55.5,4
12779,2009-12-03 07:25:00,2010-03-01 09:56:00,89,0,Loyal,28,2,690.68,10
12785,2009-12-08 13:56:00,2009-12-08 13:56:00,1,1,Lost,111,1,366.9,5
12789,2010-01-15 12:06:00,2010-01-15 12:06:00,1,0,Lost,73,1,89.25,4
12791,2010-03-25 17:29:00,2010-03-26 12:08:00,1,0,Loyal,3,3,425.03999999999996,12
12796,2010-03-21 15:49:00,2010-03-21 15:49:00,1,0,Loyal,7,1,381.0,9
12800,2010-02-01 11:02:00,2010-02-01 13:16:00,1,0,Loyal,56,2,403.33000000000004,8
12805,2010-02-03 09:06:00,2010-02-03 09:06:00,1,0,Loyal,54,1,266.5,5
12809,2010-03-02 14:19:00,2010-03-02 14:19:00,1,0,Loyal,27,1,633.6800000000001,8
12810,2010-02-01 09:52:00,2010-02-01 09:52:00,1,0,Loyal,56,1,159.66,4
12813,2010-01-15 16:52:00,2010-01-15 16:52:00,1,0,Lost,72,1,244.2,5
12820,2009-12-05 13:37:00,2010-02-23 12:55:00,80,0,Loyal,34,3,854.85,11
12823,2010-01-29 12:52:00,2010-03-23 13:11:00,54,0,Loyal,6,3,924.5,13
12825,2010-03-08 10:17:00,2010-03-08 10:17:00,1,0,Loyal,21,1,214.82999999999998,7
12826,2009-12-18 10:43:00,2009-12-18 10:43:00,1,1,Lost,101,1,458.20000000000005,5
12835,2009-12-03 12:13:00,2010-03-16 13:47:00,104,0,Champions,13,17,2990.32,14
12836,2009-12-01 14:19:00,2010-02-16 12:59:00,77,0,Loyal,41,3,1008.32,11
12839,2009-12-07 09:18:00,2010-03-05 10:14:00,89,0,Champions,24,5,1397.6,14
12840,2010-02-03 14:51:00,2010-02-03 14:51:00,1,0,Loyal,54,1,150.0,4
12842,2009-12-02 08:15:00,2009-12-02 08:15:00,1,1,Lost,117,1,397.20000000000005,5
12843,2009-12-13 11:41:00,2010-03-23 10:11:00,100,0,Loyal,6,4,805.55,14
12846,2010-01-26 16:29:00,2010-01-26 16:29:00,1,0,Loyal,61,1,15.58,4
12848,2010-02-02 12:45:00,2010-02-02 12:45:00,1,0,Loyal,55,1,208.0,5
12853,2010-02-05 11:57:00,2010-02-05 11:57:00,1,0,Loyal,52,1,413.0,6
12854,2009-12-11 12:55:00,2010-02-26 12:13:00,77,0,Loyal,31,3,1237.94,12
12857,2010-01-25 15:37:00,2010-01-25 15:37:00,1,0,Loyal,62,1,204.60000000000002,5
12860,2010-01-15 15:22:00,2010-01-15 15:22:00,1,0,Lost,72,1,54.22,4
12867,2009-12-16 16:25:00,2010-02-14 14:35:00,60,0,Loyal,43,2,986.42,10
12869,2010-01-27 12:10:00,2010-01-27 12:10:00,1,0,Loyal,61,1,337.66999999999996,6
12870,2010-03-25 14:32:00,2010-03-25 14:32:00,1,0,Loyal,4,1,209.3,8
12872,2009-12-03 20:03:00,2010-03-07 13:37:00,94,0,Champions,22,4,1241.1200000000001,14
12873,2010-01-27 09:50:00,2010-01-27 09:50:00,1,0,Loyal,61,1,492.4,6
12875,2010-01-11 12:37:00,2010-01-11 12:37:00,1,0,Lost,77,1,305.28,4
12877,2010-01-18 10:23:00,2010-01-18 10:23:00,1,0,Lost,70,1,299.49,5
12891,2010-02-18 14:32:00,2010-03-23 15:15:00,34,0,Loyal,5,2,84.0,9
12898,2010-02-18 12:36:00,2010-02-18 12:36:00,1,0,Loyal,39,1,143.57,5
12905,2010-01-26 14:06:00,2010-01-26 14:06:00,1,0,Loyal,62,1,593.66,7
12908,2010-03-19 15:59:00,2010-03-19 15:59:00,1,0,Loyal,9,1,318.0,8
12909,2010-02-24 12:14:00,2010-02-24 12:14:00,1,0,Loyal,33,1,284.11,6
12910,2010-03-28 13:10:00,2010-03-28 13:10:00,1,0,Loyal,1,1,1017.96,10
12913,2009-12-01 12:18:00,2010-01-11 10:24:00,41,0,Loyal,77,3,1220.73,10
12916,2010-01-24 11:26:00,2010-01-24 11:26:00,1,0,Loyal,64,1,379.33,6
12917,2009-12-09 14:22:00,2009-12-09 14:22:00,1,1,Lost,110,1,1552.9,7
12920,2009-12-14 15:58:00,2009-12-14 15:58:00,1,1,Lost,104,2,138.9,5
12921,2009-12-01 13:43:00,2010-03-23 12:12:00,112,0,Champions,6,9,5455.85,15
12924,2009-12-09 12:40:00,2010-03-11 13:21:00,93,0,Loyal,18,4,419.24,12
12926,2009-12-14 14:35:00,2010-03-02 16:33:00,79,0,Loyal,26,2,592.51,10
12931,2009-12-01 11:46:00,2010-03-16 15:52:00,106,0,Champions,12,10,3967.21,14
12932,2010-02-10 08:46:00,2010-03-08 13:52:00,27,0,Loyal,21,2,536.02,10
12933,2009-12-10 16:39:00,2009-12-10 16:39:00,1,1,Lost,108,1,155.79,3
12934,2009-12-03 10:51:00,2009-12-03 10:51:00,1,1,Lost,116,1,181.65,3
12937,2009-12-03 15:43:00,2009-12-17 14:43:00,14,1,Lost,102,2,314.57,6
12939,2010-01-12 11:27:00,2010-02-24 13:55:00,44,0,Loyal,33,2,787.5,10
12941,2009-12-15 13:12:00,2009-12-15 13:12:00,1,1,Lost,104,1,377.49,5
12945,2010-02-21 15:18:00,2010-02-21 15:18:00,1,0,Loyal,35,1,437.16,7
12948,2009-12-02 12:28:00,2009-12-09 11:46:00,7,1,Lost,110,2,252.48000000000002,6
12949,2009-12-03 15:56:00,2010-02-18 12:36:00,77,0,Champions,39,4,3669.03,13
12951,2010-01-10 12:43:00,2010-03-18 15:23:00,68,0,Loyal,10,3,513.45,12
12954,2010-03-11 10:16:00,2010-03-11 10:16:00,1,0,Loyal,18,1,162.45,6
12956,2009-12-15 19:03:00,2010-01-24 10:33:00,40,0,Loyal,64,3,413.82,9
12957,2009-12-11 12:01:00,2010-03-11 13:43:00,91,0,Loyal,18,2,2716.96,12
12960,2010-02-16 13:32:00,2010-02-16 13:32:00,1,0,Loyal,41,1,413.67,7
12970,2009-12-04 14:19:00,2009-12-04 14:19:00,1,1,Lost,115,1,237.99,4
12971,2009-12-15 19:04:00,2010-02-12 14:00:00,59,0,Loyal,45,4,803.95,12
12972,2010-02-16 14:30:00,2010-03-02 12:30:00,14,0,Loyal,27,2,633.61,10
12975,2009-12-06 10:38:00,2009-12-06 10:38:00,1,1,Lost,113,1,441.63,5
12976,2010-02-12 15:46:00,2010-03-11 09:26:00,27,0,Loyal,18,2,684.22,11
12978,2009-12-10 12:10:00,2010-03-04 12:11:00,85,0,Champions,25,4,1946.46,14
12979,2009-12-10 15:45:00,2009-12-10 15:45:00,1,1,Lost,108,1,517.7,5
12980,2009-12-02 11:26:00,2010-02-22 16:48:00,83,0,Loyal,34,3,2591.28,12
12986,2010-01-21 10:45:00,2010-03-08 10:41:00,46,0,Loyal,21,2,760.72,11
12987,2010-01-20 09:57:00,2010-01-20 09:57:00,1,0,Lost,68,1,282.33,5
12989,2009-12-10 13:27:00,2010-03-18 18:37:00,99,0,Champions,10,7,1648.64,15
12992,2009-12-14 16:46:00,2009-12-14 16:46:00,1,1,Lost,104,1,93.35000000000001,3
12993,2010-02-18 10:35:00,2010-03-18 16:28:00,29,0,Loyal,10,2,436.45,11
12998,2010-02-24 11:55:00,2010-02-24 11:55:00,1,0,Loyal,33,1,300.2,6
13000,2009-12-14 17:03:00,2009-12-14 17:03:00,1,1,Lost,104,1,497.65000000000003,5
13001,2009-12-03 16:21:00,2010-03-25 13:53:00,112,0,Champions,4,5,3697.26,15
13004,2009-12-15 09:44:00,2010-03-25 11:20:00,101,0,Champions,4,7,2333.54,15
13008,2009-12-16 16:07:00,2009-12-16 16:07:00,1,1,Lost,102,1,189.31,3
13009,2010-02-05 12:22:00,2010-02-05 12:22:00,1,0,Loyal,52,1,234.0,5
13010,2010-03-01 11:28:00,2010-03-01 11:28:00,1,0,Loyal,28,1,177.12,5
13013,2009-12-14 10:34:00,2010-03-09 10:26:00,85,0,Loyal,20,2,968.51,11
13018,2010-03-01 12:34:00,2010-03-01 12:35:00,1,0,Loyal,28,2,818.7,10
13019,2009-12-06 15:40:00,2009-12-10 12:10:00,4,1,Lost,109,2,445.3,7
13020,2010-02-18 10:35:00,2010-02-18 10:35:00,1,0,Loyal,39,1,448.01,7
13021,2009-12-05 12:02:00,2010-03-19 10:27:00,104,0,Loyal,10,2,653.26,12
13025,2009-12-08 10:02:00,2009-12-08 10:02:00,1,1,Lost,111,1,323.39,4
13026,2009-12-13 11:34:00,2010-03-07 15:27:00,85,0,Loyal,21,2,586.0,11
13027,2010-01-20 10:41:00,2010-03-17 10:10:00,56,0,Champions,12,5,2400.0,14
13036,2010-01-24 11:35:00,2010-01-24 11:35:00,1,0,Loyal,64,1,307.1,5
13037,2009-12-03 17:04:00,2010-03-05 10:58:00,92,0,Champions,24,4,1349.55,14
13039,2009-12-17 16:43:00,2009-12-17 16:43:00,1,1,Lost,101,1,162.8,3
13042,2009-12-07 15:42:00,2010-02-02 15:49:00,58,0,Loyal,54,2,972.7,9
13044,2010-01-08 14:46:00,2010-03-04 10:46:00,55,0,Champions,25,4,1564.65,14
13047,2009-12-16 11:43:00,2010-03-04 11:44:00,79,0,Loyal,25,3,1226.52,13
13048,2010-01-27 12:55:00,2010-01-27 12:55:00,1,0,Loyal,61,1,394.6,6
13050,2009-12-15 15:06:00,2010-03-01 13:41:00,76,0,Champions,28,4,1278.66,13
13052,2010-02-23 12:31:00,2010-02-23 12:31:00,1,0,Loyal,34,1,560.97,7
13053,2010-03-28 11:28:00,2010-03-28 11:28:00,1,0,Loyal,1,1,127.65,7
13057,2010-03-18 12:14:00,2010-03-18 12:14:00,1,0,Loyal,11,1,353.49,9
13070,2009-12-07 14:44:00,2009-12-07 14:44:00,1,1,Lost,112,1,154.2,3
13074,2009-12-16 11:46:00,2010-01-19 10:07:00,34,0,Loyal,69,2,634.0,9
13077,2009-12-11 11:17:00,2009-12-17 16:38:00,7,1,Lost,101,2,638.59,8
13078,2009-12-01 09:06:00,2010-03-24 09:52:00,114,0,Champions,5,10,5467.67,15
13082,2009-12-22 15:37:00,2010-03-26 11:59:00,94,0,Loyal,3,3,677.7,13
13085,2009-12-01 07:45:00,2010-01-29 11:42:00,60,0,Champions,59,6,2017.2,12
13087,2009-12-13 15:16:00,2009-12-13 15:16:00,1,1,Lost,105,1,313.64,4
13091,2009-12-10 11:50:00,2009-12-10 12:44:00,1,1,Lost,109,2,1976.0,9
13092,2010-02-10 08:44:00,2010-03-21 14:06:00,40,0,Loyal,8,2,534.3000000000001,11
13093,2009-12-04 10:32:00,2010-03-21 14:24:00,108,0,Champions,8,12,8400.17,15
13097,2009-12-01 13:31:00,2010-03-04 12:50:00,93,0,Champions,25,7,2977.9900000000002,14
13101,2010-01-27 15:49:00,2010-01-27 15:49:00,1,0,Loyal,60,1,168.54999999999998,4
13104,2010-02-24 15:06:00,2010-02-24 15:06:00,1,0,Loyal,33,1,96.66,5
13107,2010-02-04 10:50:00,2010-02-04 10:50:00,1,0,Loyal,53,1,606.3,7
13110,2009-12-01 14:14:00,2010-02-24 14:18:00,86,0,Loyal,33,3,705.8000000000001,11
13111,2009-12-21 09:00:00,2009-12-21 09:00:00,1,1,Lost,98,1,321.88000000000005,4
13114,2009-12-09 09:56:00,2009-12-09 09:56:00,1,1,Lost,110,1,234.38,4
13117,2010-03-26 13:50:00,2010-03-26 13:50:00,1,0,Loyal,3,1,128.22,7
13119,2010-02-09 08:38:00,2010-02-09 08:38:00,1,0,Loyal,48,1,134.9,4
13126,2010-03-02 12:24:00,2010-03-02 12:24:00,1,0,Loyal,27,1,464.85,7
13128,2010-03-18 15:08:00,2010-03-18 15:08:00,1,0,Loyal,11,1,263.5,8
13131,2010-02-09 09:47:00,2010-02-09 09:47:00,1,0,Loyal,48,1,651.41,7
13136,2009-12-08 18:30:00,2009-12-08 18:30:00,1,1,Lost,110,1,549.09,5
13141,2009-12-09 13:34:00,2010-03-22 15:30:00,104,0,Champions,6,4,1953.84,15
13148,2009-12-07 15:26:00,2010-03-22 10:21:00,105,0,Champions,7,5,1935.88,15
13150,2010-03-19 09:03:00,2010-03-19 09:03:00,1,0,Loyal,10,1,176.51999999999998,7
13151,2010-03-22 10:26:00,2010-03-24 09:31:00,2,0,Loyal,5,2,1207.34,13
13152,2010-01-14 10:01:00,2010-02-21 15:58:00,39,0,Loyal,35,2,810.82,10
13154,2009-12-04 08:46:00,2009-12-04 08:46:00,1,1,Lost,115,1,337.1,5
13156,2010-02-01 13:45:00,2010-02-09 15:27:00,9,0,Loyal,47,2,1239.6,10
13157,2010-03-08 11:59:00,2010-03-08 11:59:00,1,0,Loyal,21,1,193.2,6
13162,2009-12-04 13:59:00,2010-03-12 09:26:00,98,0,Champions,17,6,4539.02,14
13164,2010-02-10 11:52:00,2010-02-10 11:52:00,1,0,Loyal,47,1,275.8,5
13173,2009-12-10 12:52:00,2010-03-02 13:20:00,83,0,Champions,27,5,1042.7,12
13174,2009-12-04 15:40:00,2010-03-05 16:02:00,92,0,Champions,23,4,2185.73,14
13175,2009-12-04 12:11:00,2009-12-04 12:11:00,1,1,Lost,115,1,319.15,4
13178,2009-12-16 14:00:00,2010-03-09 09:49:00,83,0,Champions,20,4,2770.42,14
13183,2010-03-14 12:32:00,2010-03-14 12:32:00,1,0,Loyal,15,1,493.44,8
13187,2010-03-25 17:18:00,2010-03-25 19:06:00,1,0,Loyal,3,3,105.34,10
13190,2009-12-07 12:13:00,2010-01-31 12:12:00,55,0,Loyal,57,2,362.05,8
13191,2010-02-19 17:02:00,2010-02-19 17:02:00,1,0,Loyal,37,1,164.69,5
13192,2010-01-22 08:37:00,2010-01-22 08:37:00,1,0,Lost,66,1,724.92,7
13199,2009-12-05 10:11:00,2010-03-24 12:33:00,110,0,Champions,5,8,1639.72,15
13201,2010-03-07 11:01:00,2010-03-07 11:01:00,1,0,Loyal,22,1,316.75,7
13202,2009-12-09 10:48:00,2010-03-02 10:08:00,83,0,Loyal,27,2,494.3,9
13203,2009-12-17 14:15:00,2010-03-18 16:20:00,92,0,Loyal,10,2,460.22,11
13204,2009-12-08 14:56:00,2009-12-08 14:56:00,1,1,Lost,111,1,966.6600000000001,6
13206,2009-12-07 13:48:00,2010-03-22 13:50:00,106,0,Champions,7,9,5657.17,15
13208,2009-12-03 13:25:00,2009-12-03 13:25:00,1,1,Lost,116,1,61.12,3
13209,2010-01-24 14:30:00,2010-03-28 11:20:00,63,0,Loyal,1,2,1547.5800000000002,13
13211,2009-12-06 15:24:00,2010-03-14 13:46:00,98,0,Loyal,15,3,533.1,11
13214,2010-03-03 14:10:00,2010-03-21 10:50:00,18,0,Loyal,8,2,1791.98,13
13217,2010-02-22 12:49:00,2010-02-22 12:49:00,1,0,Loyal,35,1,132.5,5
13223,2010-02-12 13:27:00,2010-02-12 13:27:00,1,0,Loyal,45,1,216.60000000000002,6
13225,2009-12-17 09:09:00,2010-03-28 12:36:00,102,0,Champions,1,4,4071.63,15
13230,2010-03-18 20:02:00,2010-03-18 20:02:00,1,0,Loyal,10,1,271.75,8
13233,2010-01-14 14:10:00,2010-01-14 14:10:00,1,0,Lost,74,1,290.63,5
13234,2009-12-07 12:32:00,2010-02-05 11:41:00,60,0,Loyal,52,2,346.5,8
13240,2010-02-25 13:17:00,2010-02-25 13:31:00,1,0,Loyal,32,2,155.29999999999998,7
13242,2010-02-09 13:12:00,2010-02-09 13:12:00,1,0,Loyal,48,1,117.0,4
13243,2010-03-18 13:10:00,2010-03-18 13:10:00,1,0,Loyal,11,1,251.62,8
13249,2010-01-24 12:11:00,2010-03-04 09:53:00,39,0,Loyal,25,2,176.0,8
13252,2010-03-24 10:30:00,2010-03-24 10:30:00,1,0,Loyal,5,1,346.9,9
13253,2010-01-05 12:13:00,2010-01-05 12:13:00,1,0,Lost,83,1,974.39,6
13259,2010-01-10 10:26:00,2010-02-01 11:37:00,23,0,Loyal,56,3,471.33,9
13266,2009-12-17 10:52:00,2010-03-04 11:28:00,78,0,Loyal,25,2,596.88,11
13267,2009-12-07 16:56:00,2010-03-19 10:35:00,102,0,Champions,10,5,1795.07,15
13269,2009-12-02 11:47:00,2010-02-25 15:14:00,86,0,Champions,31,5,938.22,12
13275,2010-03-17 14:05:00,2010-03-17 14:05:00,1,0,Loyal,12,1,177.36,6
