CustomerID,recency,frequency,monetary,monetary_log,frequency_log,r_score,f_score,m_score,rfm_score,cluster,segment,bayesian_churn_prob
12708,29,3,808.32,6.696194388910994,1.3862943611198906,3,4,4,11,1,Loyal,0.375
12709,12,6,6269.5599999999995,8.74362094383327,1.9459101490553132,4,5,5,14,3,Champions,0.5
12711,56,1,549.3,6.310463584065713,0.6931471805599453,2,1,3,6,2,Loyal,0.5
12712,52,2,562.38,6.333954356054633,1.0986122886681096,2,3,3,8,1,Loyal,0.5
12714,14,3,3835.19,8.25223496553793,1.3862943611198906,4,4,5,13,3,Champions,0.5
12726,3,1,381.36,5.946362573195562,0.6931471805599453,5,1,3,9,2,Loyal,0.5
12727,34,1,759.32,6.633739397294171,0.6931471805599453,3,1,4,8,1,Loyal,0.5
12731,27,1,1626.4,7.394738928262557,0.6931471805599453,3,1,5,9,1,Loyal,0.5
12733,69,1,1130.22,7.031051975325475,0.6931471805599453,2,1,5,8,1,Loyal,0.5
12742,5,1,1201.52,7.092174633858238,0.6931471805599453,5,1,5,11,1,Loyal,0.5
12745,61,1,201.56,5.311036138955812,0.6931471805599453,2,1,2,5,2,Loyal,0.5
12747,19,6,1502.89,7.315810363537177,1.9459101490553132,4,5,5,14,3,Champions,0.375
12748,5,30,5170.43,8.550904525001606,3.4339872044851463,5,5,5,15,3,Champions,0.5
12755,14,3,147.41,4.999978713907727,1.3862943611198906,4,4,1,9,2,Loyal,0.5
12758,5,2,4340.05,8.375871533316651,1.0986122886681096,5,3,5,13,1,Loyal,0.5
12759,115,1,508.26,6.232958691634785,0.6931471805599453,1,1,3,5,0,Lost,0.5
12765,21,1,147.0,4.997212273764115,0.6931471805599453,4,1,1,6,2,Loyal,0.5
12776,47,1,55.5,4.034240638152395,0.6931471805599453,2,1,1,4,2,Loyal,0.5
12779,28,2,690.68,6.539123420919322,1.0986122886681096,3,3,4,10,1,Loyal,0.5
12785,111,1,366.9,5.907811162110729,0.6931471805599453,1,1,3,5,0,Lost,0.5
12789,73,1,89.25,4.502583597212991,0.6931471805599453,2,1,1,4,0,Lost,0.5
12791,3,3,425.03999999999996,6.054533238574965,1.3862943611198906,5,4,3,12,1,Loyal,0.5
12796,7,1,381.0,5.945420608606575,0.6931471805599453,5,1,3,9,2,Loyal,0.5
12800,56,2,403.33000000000004,6.002231376218875,1.0986122886681096,2,3,3,8,1,Loyal,0.5
12805,54,1,266.5,5.589119566336061,0.6931471805599453,2,1,2,5,2,Loyal,0.5
12809,27,1,633.6800000000001,6.453120934865889,0.6931471805599453,3,1,4,8,2,Loyal,0.5
12810,56,1,159.66,5.079290330745667,0.6931471805599453,2,1,1,4,2,Loyal,0.5
12813,72,1,244.2,5.5020742040620565,0.6931471805599453,2,1,2,5,0,Lost,0.5
12820,34,3,854.85,6.752095127141673,1.3862943611198906,3,4,4,11,1,Loyal,0.375
12823,6,3,924.5,6.830334132013552,1.3862943611198906,5,4,4,13,1,Loyal,0.5
12825,21,1,214.82999999999998,5.374491060770879,0.6931471805599453,4,1,2,7,2,Loyal,0.5
12826,101,1,458.20000000000005,6.129485845005357,0.6931471805599453,1,1,3,5,0,Lost,0.5
12835,13,17,2990.32,8.003470040536735,2.8903717578961645,4,5,5,14,3,Champions,0.5
12836,41,3,1008.32,6.917032115762346,1.3862943611198906,3,4,4,11,1,Loyal,0.5
12839,24,5,1397.6,7.243227015269766,1.791759469228055,4,5,5,14,3,Champions,0.5
12840,54,1,150.0,5.017279836814924,0.6931471805599453,2,1,1,4,2,Loyal,0.5
12842,117,1,397.20000000000005,5.986954391630096,0.6931471805599453,1,1,3,5,0,Lost,0.5
12843,6,4,805.55,6.692765891923797,1.6094379124341003,5,5,4,14,1,Loyal,0.5
12846,61,1,15.58,2.8081971497071487,0.6931471805599453,2,1,1,4,2,Loyal,0.5
12848,55,1,208.0,5.342334251964811,0.6931471805599453,2,1,2,5,2,Loyal,0.5
12853,52,1,413.0,6.025865973825314,0.6931471805599453,2,1,3,6,2,Loyal,0.5
12854,31,3,1237.94,7.1220114543064375,1.3862943611198906,3,4,5,12,1,Loyal,0.5
12857,62,1,204.60000000000002,5.32593253358101,0.6931471805599453,2,1,2,5,2,Loyal,0.5
12860,72,1,54.22,4.011325206502009,0.6931471805599453,2,1,1,4,0,Lost,0.5
12867,43,2,986.42,6.895095480835346,1.0986122886681096,3,3,4,10,1,Loyal,0.5
12869,61,1,337.66999999999996,5.825026181941565,0.6931471805599453,2,1,3,6,2,Loyal,0.5
12870,4,1,209.3,5.348535082708654,0.6931471805599453,5,1,2,8,2,Loyal,0.5
12872,22,4,1241.1200000000001,7.124574876183659,1.6094379124341003,4,5,5,14,3,Champions,0.5
12873,61,1,492.4,6.201320204095256,0.6931471805599453,2,1,3,6,2,Loyal,0.5
12875,77,1,305.28,5.724499716244923,0.6931471805599453,1,1,2,4,0,Lost,0.5
12877,70,1,299.49,5.705414475551326,0.6931471805599453,2,1,2,5,0,Lost,0.5
12891,5,2,84.0,4.442651256490317,1.0986122886681096,5,3,1,9,2,Loyal,0.5
12898,39,1,143.57,4.973763819320351,0.6931471805599453,3,1,1,5,2,Loyal,0.5
12905,62,1,593.66,6.387989813646672,0.6931471805599453,2,1,4,7,2,Loyal,0.5
12908,9,1,318.0,5.765191102784844,0.6931471805599453,5,1,2,8,2,Loyal,0.5
12909,33,1,284.11,5.652875070715635,0.6931471805599453,3,1,2,6,2,Loyal,0.5
12910,1,1,1017.96,6.926537778281504,0.6931471805599453,5,1,4,10,1,Loyal,0.5
12913,77,3,1220.73,7.108023166055154,1.3862943611198906,1,4,5,10,1,Loyal,0.5
12916,64,1,379.33,5.941039296913667,0.6931471805599453,2,1,3,6,2,Loyal,0.5
12917,110,1,1552.9,7.348523178792688,0.6931471805599453,1,1,5,7,0,Lost,0.5
12920,104,2,138.9,4.940927881671436,1.0986122886681096,1,3,1,5,0,Lost,0.5
12921,6,9,5455.85,8.604626979177874,2.302585092994046,5,5,5,15,3,Champions,0.5
12924,18,4,419.24,6.040825976645706,1.6094379124341003,4,5,3,12,1,Loyal,0.5
12926,26,2,592.51,6.38605406310744,1.0986122886681096,3,3,4,10,1,Loyal,0.5
12931,12,10,3967.21,8.286070390391467,2.3978952727983707,4,5,5,14,3,Champions,0.5
12932,21,2,536.02,6.286035337763185,1.0986122886681096,4,3,3,10,1,Loyal,0.5
12933,108,1,155.79,5.054907330372359,0.6931471805599453,1,1,1,3,0,Lost,0.5
12934,116,1,181.65,5.207571753241291,0.6931471805599453,1,1,1,3,0,Lost,0.5
12937,102,2,314.57,5.7543805274192925,1.0986122886681096,1,3,2,6,0,Lost,0.5
12939,33,2,787.5,6.670132406403093,1.0986122886681096,3,3,4,10,1,Loyal,0.5
12941,104,1,377.49,5.936189652449227,0.6931471805599453,1,1,3,5,0,Lost,0.5
12945,35,1,437.16,6.082584140475466,0.6931471805599453,3,1,3,7,2,Loyal,0.5
12948,110,2,252.48000000000002,5.535284924455317,1.0986122886681096,1,3,2,6,0,Lost,0.5
12949,39,4,3669.03,8.207955115402127,1.6094379124341003,3,5,5,13,3,Champions,0.5
12951,10,3,513.45,6.243098368821819,1.3862943611198906,5,4,3,12,1,Loyal,0.5
12954,18,1,162.45,5.09650713317022,0.6931471805599453,4,1,1,6,2,Loyal,0.5
12956,64,3,413.82,6.027844691200732,1.3862943611198906,2,4,3,9,1,Loyal,0.5
12957,18,2,2716.96,7.907636877899339,1.0986122886681096,4,3,5,12,1,Loyal,0.5
12960,41,1,413.67,6.0274830231839145,0.6931471805599453,3,1,3,7,2,Loyal,0.5
12970,115,1,237.99,5.476421710051968,0.6931471805599453,1,1,2,4,0,Lost,0.5
12971,45,4,803.95,6.690780163688303,1.6094379124341003,3,5,4,12,1,Loyal,0.5
12972,27,2,633.61,6.453010636982708,1.0986122886681096,3,3,4,10,1,Loyal,0.5
12975,113,1,441.63,6.092734206612264,0.6931471805599453,1,1,3,5,0,Lost,0.5
12976,18,2,684.22,6.529739954582072,1.0986122886681096,4,3,4,11,1,Loyal,0.5
12978,25,4,1946.46,7.574281238381212,1.6094379124341003,4,5,5,14,3,Champions,0.375
12979,108,1,517.7,6.251325681357355,0.6931471805599453,1,1,3,5,0,Lost,0.5
12980,34,3,2591.28,7.860293076329277,1.3862943611198906,3,4,5,12,1,Loyal,0.5
12986,21,2,760.72,6.635579034090616,1.0986122886681096,4,3,4,11,1,Loyal,0.5
12987,68,1,282.33,5.646612296041165,0.6931471805599453,2,1,2,5,0,Lost,0.5
12989,10,7,1648.64,7.408312361271329,2.0794415416798357,5,5,5,15,3,Champions,0.5
12992,104,1,93.35000000000001,4.54701127181456,0.6931471805599453,1,1,1,3,0,Lost,0.5
12993,10,2,436.45,6.080962413552274,1.0986122886681096,5,3,3,11,1,Loyal,0.5
12998,33,1,300.2,5.707774495925738,0.6931471805599453,3,1,2,6,2,Loyal,0.5
13000,104,1,497.65000000000003,6.2119044468478775,0.6931471805599453,1,1,3,5,0,Lost,0.5
13001,4,5,3697.26,8.215617717750302,1.791759469228055,5,5,5,15,3,Champions,0.5
13004,4,7,2333.54,7.7555701485542,2.0794415416798357,5,5,5,15,3,Champions,0.5
13008,102,1,189.31,5.248654321528936,0.6931471805599453,1,1,1,3,0,Lost,0.625
13009,52,1,234.0,5.459585514144159,0.6931471805599453,2,1,2,5,2,Loyal,0.5
13010,28,1,177.12,5.182457480453501,0.6931471805599453,3,1,1,5,2,Loyal,0.5
13013,20,2,968.51,6.876790789224663,1.0986122886681096,4,3,4,11,1,Loyal,0.5
13018,28,2,818.7,6.708938419658985,1.0986122886681096,3,3,4,10,1,Loyal,0.5
13019,109,2,445.3,6.100991371635224,1.0986122886681096,1,3,3,7,0,Lost,0.5
13020,39,1,448.01,6.107045159209165,0.6931471805599453,3,1,3,7,2,Loyal,0.5
13021,10,2,653.26,6.483504825970557,1.0986122886681096,5,3,4,12,1,Loyal,0.5
13025,111,1,323.39,5.781946495625555,0.6931471805599453,1,1,2,4,0,Lost,0.5
13026,21,2,586.0,6.375024819828097,1.0986122886681096,4,3,4,11,1,Loyal,0.5
13027,12,5,2400.0,7.783640596221253,1.791759469228055,4,5,5,14,3,Champions,0.5
13036,64,1,307.1,5.730424405602622,0.6931471805599453,2,1,2,5,2,Loyal,0.5
13037,24,4,1349.55,7.208267195872018,1.6094379124341003,4,5,5,14,3,Champions,0.5
13039,101,1,162.8,5.098646171418969,0.6931471805599453,1,1,1,3,0,Lost,0.5
13042,54,2,972.7,6.8811032479847105,1.0986122886681096,2,3,4,9,1,Loyal,0.5
13044,25,4,1564.65,7.356056352209614,1.6094379124341003,4,5,5,14,3,Champions,0.2857142857142857
13047,25,3,1226.52,7.112751152814964,1.3862943611198906,4,4,5,13,1,Loyal,0.375
13048,61,1,394.6,5.980403599748557,0.6931471805599453,2,1,3,6,2,Loyal,0.5
13050,28,4,1278.66,7.154349696629094,1.6094379124341003,3,5,5,13,3,Champions,0.5
13052,34,1,560.97,6.331448467685968,0.6931471805599453,3,1,3,7,2,Loyal,0.5
13053,1,1,127.65,4.857095538727753,0.6931471805599453,5,1,1,7,2,Loyal,0.5
13057,11,1,353.49,5.8706801368295976,0.6931471805599453,5,1,3,9,2,Loyal,0.5
13070,112,1,154.2,5.0447146077491185,0.6931471805599453,1,1,1,3,0,Lost,0.5
13074,69,2,634.0,6.453624998892692,1.0986122886681096,2,3,4,9,1,Loyal,0.5
13077,101,2,638.59,6.460827346065843,1.0986122886681096,1,3,4,8,0,Lost,0.625
13078,5,10,5467.67,8.606790721427497,2.3978952727983707,5,5,5,15,3,Champions,0.5
13082,3,3,677.7,6.520179203709713,1.3862943611198906,5,4,4,13,1,Loyal,0.5
13085,59,6,2017.2,7.609961304030429,1.9459101490553132,2,5,5,12,3,Champions,0.5
13087,105,1,313.64,5.751429128123554,0.6931471805599453,1,1,2,4,0,Lost,0.5
13091,109,2,1976.0,7.589335823170617,1.0986122886681096,1,3,5,9,0,Lost,0.5
13092,8,2,534.3000000000001,6.282827337399335,1.0986122886681096,5,3,3,11,1,Loyal,0.5
13093,8,12,8400.17,9.036126260846336,2.5649493574615367,5,5,5,15,3,Champions,0.5
13097,25,7,2977.9900000000002,7.999339595876497,2.0794415416798357,4,5,5,14,3,Champions,0.5
13101,60,1,168.54999999999998,5.133147868571648,0.6931471805599453,2,1,1,4,2,Loyal,0.5
13104,33,1,96.66,4.581492058633514,0.6931471805599453,3,1,1,5,2,Loyal,0.5
13107,53,1,606.3,6.40902290290353,0.6931471805599453,2,1,4,7,2,Loyal,0.5
13110,33,3,705.8000000000001,6.560747740445541,1.3862943611198906,3,4,4,11,1,Loyal,0.5
13111,98,1,321.88000000000005,5.777280737165245,0.6931471805599453,1,1,2,4,0,Lost,0.625
13114,110,1,234.38,5.461201229449516,0.6931471805599453,1,1,2,4,0,Lost,0.5
13117,3,1,128.22,4.86151637813002,0.6931471805599453,5,1,1,7,2,Loyal,0.5
13119,48,1,134.9,4.911919321157098,0.6931471805599453,2,1,1,4,2,Loyal,0.5
13126,27,1,464.85,6.143863693896434,0.6931471805599453,3,1,3,7,2,Loyal,0.5
13128,11,1,263.5,5.577841251298354,0.6931471805599453,5,1,2,8,2,Loyal,0.5
13131,48,1,651.41,6.480673198649006,0.6931471805599453,2,1,4,7,2,Loyal,0.5
13136,110,1,549.09,6.3100819012031835,0.6931471805599453,1,1,3,5,0,Lost,0.5
13141,6,4,1953.84,7.578063627638048,1.6094379124341003,5,5,5,15,3,Champions,0.5
13148,7,5,1935.88,7.568833710016577,1.791759469228055,5,5,5,15,3,Champions,0.5
13150,10,1,176.51999999999998,5.179083278624338,0.6931471805599453,5,1,1,7,2,Loyal,0.5
13151,5,2,1207.34,7.097002795846825,1.0986122886681096,5,3,5,13,1,Loyal,0.5
13152,35,2,810.82,6.699278640711324,1.0986122886681096,3,3,4,10,1,Loyal,0.5
13154,115,1,337.1,5.823341709713841,0.6931471805599453,1,1,3,5,0,Lost,0.5
13156,47,2,1239.6,7.1233504125390175,1.0986122886681096,2,3,5,10,1,Loyal,0.5
13157,21,1,193.2,5.268888555857225,0.6931471805599453,4,1,1,6,2,Loyal,0.5
13162,17,6,4539.02,8.420686696312034,1.9459101490553132,4,5,5,14,3,Champions,0.5
13164,47,1,275.8,5.623295223743515,0.6931471805599453,2,1,2,5,2,Loyal,0.5
13173,27,5,1042.7,6.9505273708260065,1.791759469228055,3,5,4,12,3,Champions,0.5
13174,23,4,2185.73,7.690162556265228,1.6094379124341003,4,5,5,14,3,Champions,0.5
13175,115,1,319.15,5.768789635964811,0.6931471805599453,1,1,2,4,0,Lost,0.5
13178,20,4,2770.42,7.927115103207818,1.6094379124341003,4,5,5,14,3,Champions,0.5
13183,15,1,493.44,6.203425809019622,0.6931471805599453,4,1,3,8,2,Loyal,0.5
13187,3,3,105.34,4.666641508076192,1.3862943611198906,5,4,1,10,2,Loyal,0.5
13190,57,2,362.05,5.894540565826256,1.0986122886681096,2,3,3,8,2,Loyal,0.5
13191,37,1,164.69,5.1101185725812055,0.6931471805599453,3,1,1,5,2,Loyal,0.5
13192,66,1,724.92,6.587439815915654,0.6931471805599453,2,1,4,7,0,Lost,0.5
13199,5,8,1639.72,7.402890448865477,2.1972245773362196,5,5,5,15,3,Champions,0.5
13201,22,1,316.75,5.761264910069563,0.6931471805599453,4,1,2,7,2,Loyal,0.5
13202,27,2,494.3,6.205163639594192,1.0986122886681096,3,3,3,9,1,Loyal,0.5
13203,10,2,460.22,6.133875152589096,1.0986122886681096,5,3,3,11,1,Loyal,0.5
13204,111,1,966.6600000000001,6.874880785908055,0.6931471805599453,1,1,4,6,0,Lost,0.5
13206,7,9,5657.17,8.640855797362775,2.302585092994046,5,5,5,15,3,Champions,0.5
13208,116,1,61.12,4.129067998280486,0.6931471805599453,1,1,1,3,0,Lost,0.5
13209,1,2,1547.5800000000002,7.345093660978356,1.0986122886681096,5,3,5,13,1,Loyal,0.5
13211,15,3,533.1,6.2805830873457245,1.3862943611198906,4,4,3,11,1,Loyal,0.5
13214,8,2,1791.98,7.491634319053239,1.0986122886681096,5,3,5,13,1,Loyal,0.5
13217,35,1,132.5,4.894101477840304,0.6931471805599453,3,1,1,5,2,Loyal,0.5
13223,45,1,216.60000000000002,5.382658514981788,0.6931471805599453,3,1,2,6,2,Loyal,0.5
13225,1,4,4071.63,8.31204426139091,1.6094379124341003,5,5,5,15,3,Champions,0.5
13230,10,1,271.75,5.60855562471318,0.6931471805599453,5,1,2,8,2,Loyal,0.5
13233,74,1,290.63,5.675485875501087,0.6931471805599453,2,1,2,5,0,Lost,0.5
13234,52,2,346.5,5.850764665004847,1.0986122886681096,2,3,3,8,2,Loyal,0.5
13240,32,2,155.29999999999998,5.051777237427431,1.0986122886681096,3,3,1,7,2,Loyal,0.5
13242,48,1,117.0,4.770684624465665,0.6931471805599453,2,1,1,4,2,Loyal,0.5
13243,11,1,251.62,5.531886383345829,0.6931471805599453,5,1,2,8,2,Loyal,0.5
13249,25,2,176.0,5.176149732573829,1.0986122886681096,4,3,1,8,2,Loyal,0.5
13252,5,1,346.9,5.8519150821578965,0.6931471805599453,5,1,3,9,2,Loyal,0.5
13253,83,1,974.39,6.882837391019174,0.6931471805599453,1,1,4,6,0,Lost,0.5714285714285714
13259,56,3,471.33,6.157677893834649,1.3862943611198906,2,4,3,9,1,Loyal,0.5
13266,25,2,596.88,6.393390064917614,1.0986122886681096,4,3,4,11,1,Loyal,0.5
13267,10,5,1795.07,7.493356223603733,1.791759469228055,5,5,5,15,3,Champions,0.5
13269,31,5,938.22,6.845049743566013,1.791759469228055,3,5,4,12,3,Champions,0.5
13275,12,1,177.36,5.183803979759276,0.6931471805599453,4,1,1,6,2,Loyal,0.5
13276,22,1,384.43,5.954359594154741,0.6931471805599453,4,1,3,8,2,Loyal,0.5
13280,24,1,478.5,6.172743894323493,0.6931471805599453,4,1,3,8,2,Loyal,0.5
13283,20,1,127.80000000000001,4.858260813670253,0.6931471805599453,4,1,1,6,2,Loyal,0.5
13285,4,1,340.3,5.832761855912661,0.6931471805599453,5,1,3,9,2,Loyal,0.5
